NODE,PARENT,NODE_TYPE,FORMULA,NODE_ID,PARENT_ID,CHILD_INDEX,PARENT_INDEX,INDEX_NUM,PARENT_INDEX_NUM,FULL_SQL
BLENDED_CAPITAL_RATE_FINANCE,ECONOMIC_CAPITAL_DLRS_PER_ORIG,raw,,1.2.3.2.2,1.2.3.2,index16,index11,16,11,
OS_DLRS_PER_ACTV,OS_DLRS_PER_ORIG,raw,,1.2.3.2.1.2,1.2.3.2.1,index26,index15,26,15,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,OS_DLRS_PER_ORIG,raw,,1.2.3.2.1.1,1.2.3.2.1,index25,index15,25,15,
OS_DLRS_PER_ORIG,ECONOMIC_CAPITAL_DLRS_PER_ORIG,calculated,OS_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG,1.2.3.2.1,1.2.3.2,index15,index11,15,11,"select *, OS_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG as OS_DLRS_PER_ORIG from data"
ECONOMIC_CAPITAL_DLRS_PER_ORIG,CHANGE_IN_EC_DLRS_PER_ORIG,calculated,Blended_Capital_Rate_Finance * OS_DLRS_per_ORIG,1.2.3.2,1.2.3,index11,index6,11,6,"select *, Blended_Capital_Rate_Finance * OS_DLRS_per_ORIG as ECONOMIC_CAPITAL_DLRS_PER_ORIG from data"
L_ECONOMIC_CAPITAL_DLRS_PER_ORIG,CHANGE_IN_EC_DLRS_PER_ORIG,raw,,1.2.3.1,1.2.3,index10,index6,10,6,
CHANGE_IN_EC_DLRS_PER_ORIG,DISCOUNTED_EC_DLRS_PER_ORIG,calculated,L_Economic_Capital_DLRS_per_ORIG - Economic_Capital_DLRS_per_ORIG,1.2.3,1.2,index6,index3,6,3,"select *, L_Economic_Capital_DLRS_per_ORIG - Economic_Capital_DLRS_per_ORIG as CHANGE_IN_EC_DLRS_PER_ORIG from data"
COST_OF_EQUITY,DISCOUNTED_EC_DLRS_PER_ORIG,raw,,1.2.2,1.2,index5,index3,5,3,
MOB,DISCOUNTED_EC_DLRS_PER_ORIG,raw,,1.2.1,1.2,index4,index3,4,3,
DISCOUNTED_EC_DLRS_PER_ORIG,EV_DLRS_PER_ORIG,calculated,"Change_in_EC_DLRS_per_ORIG / power((1+ Cost_of_Equity / 12), MOB)",1.2,1,index3,index1,3,1,"select *, Change_in_EC_DLRS_per_ORIG / power((1+ Cost_of_Equity / 12), MOB) as DISCOUNTED_EC_DLRS_PER_ORIG from data"
ACQUISITION_COST,ACQUISITION_COST_DLRS_PER_ORIG,raw,,1.1.3.3.3.5.3,1.1.3.3.3.5,index47,index24,47,24,
